REGWLD,EVCHANGE,SCEN,Value
JAPAN,EVpct,GPESSRRnD20,-0.05266385898
KOR,EVpct,GPESSRRnD20,-0.062127377838
MAR,EVpct,GPESSRRnD20,0.26797527075
MDG,EVpct,GPESSRRnD20,0.19458186626
MEAS_NAfr,EVpct,GPESSRRnD20,0.30657488108
MEX,EVpct,GPESSRRnD20,0.18386469781
MYS,EVpct,GPESSRRnD20,0.45241624117
NGA,EVpct,GPESSRRnD20,0.75499272346
Oceania,EVpct,GPESSRRnD20,0.020182657987
Oth_CEE_CIS,EVpct,GPESSRRnD20,0.19878591597
Oth_Europe,EVpct,GPESSRRnD20,0.14660532773
PAK,EVpct,GPESSRRnD20,0.24550123513
PHL,EVpct,GPESSRRnD20,0.33685681224
POL,EVpct,GPESSRRnD20,0.12211862206
R_S_Asia,EVpct,GPESSRRnD20,0.43383538723
R_SE_Asia,EVpct,GPESSRRnD20,0.21143554151
Russia,EVpct,GPESSRRnD20,0.14702053368
S_o_Amer,EVpct,GPESSRRnD20,0.074747487903
S_S_AFR,EVpct,GPESSRRnD20,0.58575820923
TUR,EVpct,GPESSRRnD20,0.060070011765
USA,EVpct,GPESSRRnD20,-0.051692582667
VNM,EVpct,GPESSRRnD20,0.47787815332
XAC,EVpct,GPESSRRnD20,0.47727262974
ZAF,EVpct,GPESSRRnD20,3.86381172575057E-0003
World,EVpct,GPESSRRnD20,0.087797790766
ARG,EVval,GPESSRRnD20,-361.1151123
BGD,EVval,GPESSRRnD20,525.67047119
BRAZIL,EVval,GPESSRRnD20,-274.34619141
C_C_Amer,EVval,GPESSRRnD20,1994.8457031
CAN,EVval,GPESSRRnD20,-709.02728271
CHIHKG,EVval,GPESSRRnD20,22923.289063
COL,EVval,GPESSRRnD20,367.62768555
E_Asia,EVval,GPESSRRnD20,561.82043457
EGY,EVval,GPESSRRnD20,2977.2966309
ETH,EVval,GPESSRRnD20,537.01269531
EU27,EVval,GPESSRRnD20,-8055.7368164
IDN,EVval,GPESSRRnD20,15046.603516
INDIA,EVval,GPESSRRnD20,-356.06613159
JAPAN,EVval,GPESSRRnD20,-1937.6828613
KOR,EVval,GPESSRRnD20,-881.32312012
MAR,EVval,GPESSRRnD20,363.58453369
MDG,EVval,GPESSRRnD20,35.076625824
MEAS_NAfr,EVval,GPESSRRnD20,13028.359375
MEX,EVval,GPESSRRnD20,2562.5722656
MYS,EVval,GPESSRRnD20,1931.5911865
NGA,EVval,GPESSRRnD20,11344.917969
Oceania,EVval,GPESSRRnD20,539.08660889
Oth_CEE_CIS,EVval,GPESSRRnD20,2701.9853516
Oth_Europe,EVval,GPESSRRnD20,1982.1590576
PAK,EVval,GPESSRRnD20,579.37072754
PHL,EVval,GPESSRRnD20,1486.6816406
POL,EVval,GPESSRRnD20,825.60614014
R_S_Asia,EVval,GPESSRRnD20,724.64776611
R_SE_Asia,EVval,GPESSRRnD20,1749.9172363
Russia,EVval,GPESSRRnD20,5038.6860352
S_o_Amer,EVval,GPESSRRnD20,1141.9433594
S_S_AFR,EVval,GPESSRRnD20,6229.3833008
