REGWLD,GDPS,SCEN,Value
Oth_Europe,RealGDPvalch,NATPES,60.542598724
PAK,RealGDPvalch,NATPES,-100.29960632
PHL,RealGDPvalch,NATPES,140.5834198
POL,RealGDPvalch,NATPES,609.07507324
R_S_Asia,RealGDPvalch,NATPES,30.523469925
R_SE_Asia,RealGDPvalch,NATPES,70.603530884
Russia,RealGDPvalch,NATPES,569.91326904
S_o_Amer,RealGDPvalch,NATPES,555.13323975
S_S_AFR,RealGDPvalch,NATPES,-527.72497559
TUR,RealGDPvalch,NATPES,145.50428772
USA,RealGDPvalch,NATPES,2045.5526123
VNM,RealGDPvalch,NATPES,21.158618927
XAC,RealGDPvalch,NATPES,161.12442017
ZAF,RealGDPvalch,NATPES,-15.30861187
World,RealGDPvalch,NATPES,18401.246094
ARG,NomGDPvalch,NATPES,-89.6875
BGD,NomGDPvalch,NATPES,86.4375
BRAZIL,NomGDPvalch,NATPES,-2498
C_C_Amer,NomGDPvalch,NATPES,-217.8125
CAN,NomGDPvalch,NATPES,-273.5
CHIHKG,NomGDPvalch,NATPES,4410
COL,NomGDPvalch,NATPES,367.8125
E_Asia,NomGDPvalch,NATPES,51.34375
EGY,NomGDPvalch,NATPES,752.0625
ETH,NomGDPvalch,NATPES,-451.953125
